Postcode	Description	Grid Reference	X (easting)	Y (northing)	Latitude	Longitude
S1 2NS	S1 2NS	SK 35503 86868	435503	386868	53.37748	-1.4677872
S10 1LX	S10 1LX	SK 33345 87737	433345	387737	53.385431	-1.5001332
S10 5RT	S10 5RT	SK 31653 86823	431653	386823	53.377319	-1.5256621
S12 3GH	S12 3GH	SK 38665 83054	438665	383054	53.342978	-1.4207239
S12 4NQ	S12 4NQ	SK 41732 83270	441732	383270	53.344687	-1.3746328
S12 4NW	S12 4NW	SK 41830 82973	441830	382973	53.342009	-1.3732
S12 4WW	S12 4WW	SK 39417 83373	439417	383373	53.345789	-1.4093901
S13 7EY	S13 7EY	SK 41495 84765	441495	384765	53.358142	-1.3779969
S13 7LN	S13 7LN	SK 42130 85077	442130	385077	53.360897	-1.3684151
S13 8NH	S13 8NH	SK 40588 86332	440588	386332	53.372297	-1.3914232
S13 8QD	S13 8QD	SK 40585 85482	440585	385482	53.364657	-1.3915771
S13 9BB	S13 9BB	SK 41264 86443	441264	386443	53.373242	-1.3812491
S13 9BN	S13 9BN	SK 40701 86436	440701	386436	53.373223	-1.3897116
S2 2RP	S2 2RP	SK 36785 86461	436785	386461	53.373734	-1.4485646
S20 1GW	S20 1GW	SK 43630 83557	443630	383557	53.347113	-1.3460867
S20 5AA	S20 5AA	SK 42605 81178	442605	381178	53.325814	-1.3618015
S4 7AP	S4 7AP	SK 36470 89705	436470	389705	53.402913	-1.4529254
S4 7AU	S4 7AU	SK 35950 89540	435950	389540	53.401466	-1.460765
S4 8LD	S4 8LD	SK 37030 90122	437030	390122	53.406623	-1.4444542
S5 6ND	S5 6ND	SK 36698 91615	436698	391615	53.420065	-1.4492747
S5 7PA	S5 7PA	SK 35551 91296	435551	391296	53.417276	-1.4665685
S5 9FH	S5 9FH	SK 35641 93281	435641	393281	53.435111	-1.4649906
S6 1BH	S6 1BH	SK 33376 92424	433376	392424	53.427556	-1.4991729
S6 3JR	S6 3JR	SK 33941 88360	433941	388360	53.390992	-1.4911062
S6 3TN	S6 3TN	SK 33202 88493	433202	388493	53.392235	-1.5022038
S6 4LH	S6 4LH	SK 32887 89743	432887	389743	53.40349	-1.5068105
S6 4QN	S6 4QN	SK 32698 89891	432698	389891	53.404832	-1.5096379
S6 6RR	S6 6RR	SK 31074 89796	431074	389796	53.404075	-1.5340737
S7 1HR	S7 1HR	SK 34269 84948	434269	384948	53.360303	-1.4865432
S7 2NB	S7 2NB	SK 32819 83311	432819	383311	53.345681	-1.5084989
S7 2QU	S7 2QU	SK 32577 82098	432577	382098	53.334793	-1.5122581
S8 9QB	S8 9QB	SK 35448 84409	435448	384409	53.355381	-1.4688888
S8 9SD	S8 9SD	SK 35764 84663	435764	384663	53.357643	-1.4641127
S9 1EB	S9 1EB	SK 37918 90649	437918	390649	53.411296	-1.4310343
S9 1UG	S9 1UG	SK 39980 90965	439980	390965	53.413985	-1.3999758
S9 3DH	S9 3DH	SK 38759 87920	438759	387920	53.386707	-1.4187174
